"Schools Name","Address","Address2 ","City","City 2","Zip","Zip 2","Area","Title","Principal","First","Last","Email","Phone","Fax","Grades"
"Sacred Heart School","208 SOUTH MARKET ST","208 SOUTH MARKET ST","HUDSON","HUDSON","49247-1320","49247-1320","Hudson","Ms.","April McCaskey","April","McCaskey","april.mccaskey@gmail.com","5174486405","5174482401","KG-Part,1-6, GenEd, PK"
"Sacred Heart School","200 SOUTH FRANKLIN ST","200 SOUTH FRANKLIN ST","MOUNT PLEASANT","MOUNT PLEASANT","48858-2529","48858-2529","Mt. Pleasant","Mr.","Denny Starnes","Denny","Starnes","dstarnes@sha.net","9897721457","9897729056","KG-Part, 1-6, GenEd, PK"
"Sacred Heart School","433 BARAGA AVE","433 BARAGA AVE","LANSE","LANSE","49946-1411","49946-1411","L'Anse","Ms.","Karen Sands","Karen","Sands","sacredhs@up.net","9065245157","9065245154","KG,1-6, GenEd, PK"
"Sacred Heart School","22513 GARRISON ST","22513 GARRISON ST","DEARBORN","DEARBORN","48124-2101","48124-2101","Dearborn","Ms.","Melissa Lambrecht","Melissa","Lambrecht","smkklambrecht@comcast.net","3135619192",,"KG-Part, 1-8, GenEd"
"Saginaw Chippewa Academy","7498 EAST BROADWAY RD","7498 EAST BROADWAY RD","MOUNT PLEASANT","MOUNT PLEASANT","48858-8967","48858-8967","Mt. Pleasant","Ms.","Tracee Wilson","Tracee","Wilson","twilson@sagchip.org","9897754453","9897754450","KG-Part, 1-6, GenEd, PK"
"Salem Lutheran School","520 WEST STEWART ST","520 WEST STEWART ST","OWOSSO","OWOSSO","48867-4348","48867-4348","Owosso","Mr.","Anthony Perry","Anthony","Perry","aeperry05@verizon.net","9897252234",,"KG-Part, 1-8, GenEd, PK"
"San Juan Diego Academy","1650 Godfrey Ave., SW","1650 Godfrey Ave., SW","Wyoming","Wyoming","49509","49509","Godfrey-Lee","Ms.","Rosa Fraga","Rosa","Fraga","sjdacademy@gmail.com","6162431126","6162430862","KG,1-8, GenEd"
"Schoolhouse Montessori Academy","3305 CROOKS RD","3305 CROOKS RD","TROY","TROY","48084-1680","48084-1680","Troy","Ms.","C. T. Wells","C. T.","Wells","twells@schoolhousecorporate.com","2486496149","2486496130","KG-Part,1-6, GenEd, PK"
"Schoolhouse Montessori Canton","6215 NORTH CANTON CENTER RD","6215 NORTH CANTON CENTER RD","CANTON","CANTON","48187-2697","48187-2697","Plymouth-Canton","Ms.","Lisa Rippon","Lisa","Rippon","lrippon@schoolhousemontessori.com","7344161849","7344161881","KG-Part,1-6, GenEd, PK"
"Shepherd of the Lakes School","2101 SOUTH HACKER RD","2101 SOUTH HACKER RD","BRIGHTON","BRIGHTON","48114-8764","48114-8764","Howell","Ms.","Julie van Deven","Julie","van Deven","principal@shepherdsvoice.org","8102276473","8102991530","KG-Part, 1-5, GenEd, PK"
"Sheridan Road Baptist School","6911 SHERIDAN RD","6911 SHERIDAN RD","SAGINAW","SAGINAW","48601-9767","48601-9767","Bridgeport-Spaulding","Pastor","Joe Ingham","Joe","Ingham","Sheridanrbc@yahoo.com","9897770550","9897779585","KG-Part, 1-12, GenEd, PK"
"Shrine Academy","3500 W 13 MILE RD","3500 WEST 13 MILE RD","ROYAL OAK","ROYAL OAK","48073-6709","48073-6709","Royal Oak","Mrs.","Gabrielle Erken","Gabrielle","Erken","nsawyer@shrineschools.com","2487377898","2485492953","7-8, GenEd"
"Shrine Catholic Grade School","1621 LINWOOD AVE","1621 LINWOOD AVE","ROYAL OAK","ROYAL OAK","48067-1067","48067-1067","Royal Oak","Mrs.","Sharon Dixon","Sharon","Dixon","shailor@shrineschools.com","2485414622",,"KG-Part, 1-6, Alt, GenEd, PK"
"Shrine High School","3500 WEST 13 MILE RD","3500 WEST 13 MILE RD","ROYAL OAK","ROYAL OAK","48073-6709","48073-6709","Royal Oak","Mrs.","Gabrielle Erken","Gabrielle","Erken","erken@shrineschools.com","2485492925","2485492953","9-12, GenEd"
"Skeels Christian School","3956 NORTH M 18","3956 NORTH M 18","GLADWIN","GLADWIN","48624-8920","48624-8920","Harrison","Ms.","Mary Owens","Mary","Owens","mrsmowens@skeelschristianschool.com","9894262054","9894264527","KG-Part, 1-12, GenEd, PK"
"South Christian High School","160 68TH ST SW","160 68TH ST SW","GRAND RAPIDS","GRAND RAPIDS","49548-7114","49548-7114","Kentwood","Mr.","George Guichelaar","George","Guichelaar","gguichelaar@schs.org","6164553210","6164558840","9-12, GenEd"
"South Olive Christian School","6230 120TH AVE","6230 120TH AVE","HOLLAND","HOLLAND","49424-9231","49424-9231","West Ottawa","Ms.","Ann Pyle","Ann","Pyle","info@sochristian.org","6168758224","6168752287","KG-Part, 1-8, GenEd, PK"
"South Side Christian School","913 PINE AVE","913 PINE AVE","HOLLAND","HOLLAND","49423-5250","49423-5250","Holland","Mr.","Rod Brandsen","Rod","Brandsen","rbrandsen@hollandchristian.org","6168203505","6168202810","KG-Part, 1-2, GenEd, PK"
"Southfield Christian School","28650 LAHSER RD","28650 LAHSER RD","SOUTHFIELD","SOUTHFIELD","48034-2020","48034-2020","Southfield","Ms.","Margie Baldwin","Margie","Baldwin","mbaldwin@southfieldchristian.org","2483573660","2483575271","KG-Part, 1-12, GenEd, PK"
"Spiritus Sanctus Academy","4101 EAST JOY RD","4101 EAST JOY RD","ANN ARBOR","ANN ARBOR","48105-9609","48105-9609","Whitmore Lake","Sr.","Sr. John Dominic","Sr. John","Dominic","cmccarthy@spiritussanctus.org","7349963855",,"KG-Part, 1-8, GenEd, PK"
"Spiritus Sanctus Academy","10450 JOY RD","10450 JOY RD","PLYMOUTH","PLYMOUTH","48170-5029","48170-5029","Plymouth-Canton","Ms.","Sonia Zawacki","Sonia","Zawacki","szawacki@spiritussanctus.org","7344148430","7344148495","KG-Part, 1-8, GenEd"
"Spring Vale Academy","4150 SOUTH M 52","4150 SOUTH M 52","OWOSSO","OWOSSO","48867-9224","48867-9224","Owosso","Mr.","Mark Caswell","Mark","Caswell","mcaswell@springvale.us","9897252391","9897296408","7-12, Boarding, GenEd"
"Springfield Christian Academy","8585 DIXIE HWY","8585 DIXIE HWY","CLARKSTON","CLARKSTON","48348-4242","48348-4242","Clarkston","Mr.","Philip Alsup","Philip","Alsup","mrs.alsup@scaeagles.org","2486259760","2486259640","1-12, GenEd"
"SS. Peter and Paul School","317 BALDIE ST","317 BALDIE ST","IONIA","IONIA","48846-1503","48846-1503","Ionia","Ms.","Julie Palmer","Julie","Palmer","jpalmer@ssppcatholic.com","6165273561","6165273562","KG-Part, 1-8, GenEd, PK"
"St. Ann School","800 WEST 13TH ST","800 WEST 13TH ST","CADILLAC","CADILLAC","49601-9281","49601-9281","Cadillac","Mr.","Robert Kellogg","Robert","Kellogg","rkellogg@stanncadillac.org","2317751301","2317750161","KG-Part, 1-7, GenEd, PK"
"St. Anne Catholic Grade School","5920 ARDEN AVE","5920 ARDEN AVE","WARREN","WARREN","48092-1275","48092-1275","Warren Consolidated","Mr.","Anthony Sahadi","Anthony","Sahadi","asahadi@st-anne.net","5862642911","5862644533","KG-Part, 1-8, GenEd, PK, SpecEd"
"St. Anne School","317 WEST CENTER ST","317 WEST CENTER ST","LINWOOD","LINWOOD","48634-9217","48634-9217","Pinconning","Dr.","Angie Radlinski","Angie","Radlinski","aradlinski@stannelinwood.com","9896973100","9896973630","KG-Part,1-6, GenEd, PK"
"St. Anselm School","17700 WEST OUTER DR","17700 WEST OUTER DR","DEARBORN HEIGHTS","DEARBORN HEIGHTS","48127-2567","48127-2567","Dearborn","Ms.","Katie Brydges","Katie","Brydges","klmb1976@hotmail.com","3135633430","3135657514","KG-Part, 1-8, GenEd, PK"
"St. Anthony of Padua School","2510 RICHMOND ST NW","2510 RICHMOND ST NW","GRAND RAPIDS","GRAND RAPIDS","49504-2329","49504-2329","Grand Rapids","Ms.","Julie Whelan","Julie","Whelan","jwhelan@saparish.com","6164534062","6165163724","KG-Part, 1-8, GenEd, PK"
"St. Augustine Cathedral School","600 WEST MICHIGAN AVE","600 WEST MICHIGAN AVE","KALAMAZOO","KALAMAZOO","49007-3716","49007-3716","Kalamazoo","Ms.","Andra Zommers","Andra","Zommers","azommers@stakzoo.org","2693491945","2693491085","KG-Part, 1-8, GenEd, PK"
"St. Augustine Catholic School","67901 HOWARD ST","67901 HOWARD ST","RICHMOND","RICHMOND","48062-1651","48062-1651","Richmond","Ms.","Melissa Lipsmeier","Melissa","Lipsmeier","alipsmeier@staugustinecatholicschool.com","5867279365","5867273760","KG-Part, 1-8, GenEd, PK"
"St. Bartholomew Lutheran School","1033 EAST BEAVER RD","1033 EAST BEAVER RD","KAWKAWLIN","KAWKAWLIN","48631-9164","48631-9164","Bay City","Mr.","Mark Boileau","Mark","Boileau","mboileau123@yahoo.com","9896846751",,"KG-Part, 1-8, GenEd, PK"
"St. Basil School","94 SUPERIOR ST","94 SUPERIOR ST","SOUTH HAVEN","SOUTH HAVEN","49090-1120","49090-1120","South Haven","Mr.","Bill Alwin","Bill","Alwin","principal@saintbasilcatholic.org","2696373529","2696392342","1-8, GenEd, PK"
"St. Brigid Catholic School","130 WEST LARKIN ST","130 WEST LARKIN ST","MIDLAND","MIDLAND","48640-5151","48640-5151","Midland","Ms.","Maureen Becker","Maureen","Becker","mbecker@stbrigid-midland.org","9898359481","9898359141","KG, KG-Part, 1-8, GenEd"
"St. Catherine Catholic School","P.O. Box 216","3376 THOMAS ST","Ravenna","RAVENNA","49451-9567","49451-9567","Ravenna","Mr.","Richard Kosla","Richard","Kosla","richardkosla@gmail.com","2318536743","2318536898","KG-Part, 1-6, GenEd"
"St. Catherine of Siena Academy","28200 NAPIER RD","28200 NAPIER RD","WIXOM","WIXOM","48393-3364","48393-3364","South Lyon","Ms.","Kathy Tarnacki","Kathy","Tarnacki","ktarnacki@saintcatherineacademy.org","2489464848","2484381679","9, GenEd"
"St. Cecilia Catholic School","106 EAST WHEATON AVE","106 EAST WHEATON AVE","CLARE","CLARE","48617-1322","48617-1322","Clare","Mrs.","Kimberly Smith","Kimberly","Smith","stcecilia@charterinternet.com","9893869862","9893863350","KG-Part, 1-6, GenEd, PK"
"St. Charles Borromeo Catholic School","79 HARRISON ST","79 HARRISON ST","COLDWATER","COLDWATER","49036-1301","49036-1301","Coldwater","Ms.","Brenda Mescher","Brenda","Mescher","mescherb@scbelementary.org","5172790404","5172780505","KG-Part, 1-5, GenEd, PK"
"St. Charles Catholic School","502 SOUTH FRANKLIN ST","502 SOUTH FRANKLIN ST","GREENVILLE","GREENVILLE","48838-2348","48838-2348","Greenville","Mrs.","Margaret Karpus","Margaret","Karpus","stchasprin@hotmail.com","6167543416","6167549262","KG-Part, 1-8, GenEd"
"St. Charles School","8125 SWAN CREEK RD","8125 SWAN CREEK RD","NEWPORT","NEWPORT","48166-9728","48166-9728","Jefferson","Ms.","Karen Johnson","Karen","Johnson","stcharlesprincipal@chartermi.net","7345862531","7345863900","KG-Part, 1-8, GenEd, PK"
"St. Clare of Montefalco School","16231 CHARLEVOIX ST","16231 CHARLEVOIX ST","GROSSE POINTE PARK","GROSSE POINTE PARK","48230-1165","48230-1165","Grosse Pointe","Sr.","Kathy Avery","Kathy","Avery","skavery@stclarem.org","3136475100","3136475105","KG-Part, 1-8, GenEd, PK"
"St. Damian School","29891 JOY RD","29891 JOY RD","WESTLAND","WESTLAND","48185-1728","48185-1728","Livonia","Ms.","Mary Stempin","Mary","Stempin","mstempin@netzero.com","7344271680","7344271272","KG-Part, 1-8, GenEd, PK"
"St. Edith School","15089 NEWBURGH RD","15089 NEWBURGH RD","LIVONIA","LIVONIA","48154-5037","48154-5037","Livonia","Sr.","Margaret Kijek","Margaret","Kijek","dalemaryo@aol.com","7344641250",,"KG-Part, 1-8, GenEd"
"St. Edward on the Lake School","6995 LAKESHORE RD","6995 LAKESHORE RD","LAKEPORT","LAKEPORT","48059-2221","48059-2221","Port Huron","Sr.","Patricia Magee, OP","Patricia","Magee, OP","ppatmagee@hotmail.com","8103854461","8103856070","KG-Part, 1-5, GenEd, PK"
"St. Elizabeth Ann Seton M.S.","1601 3 MILE RD N","1601 3 MILE RD N","TRAVERSE CITY","TRAVERSE CITY","49696","49696-8501","Traverse City","Mrs.","Lori Phillips","Lori","Phillips","lphill@gtacs.org","2319324810","2319324814","6-8, GenEd"
"St. Elizabeth Catholic School","12835 EAST WASHINGTON RD","12835 EAST WASHINGTON RD","REESE","REESE","48757-9712","48757-9712","Reese","Ms.","Gabriela Marguery","Gabriela","Marguery","gmarguery@steliz.net","9898684108","9898680060","KG-Part, 1-8, GenEd, PK"
"St. Fabian Catholic Elem. School","32200 WEST 12 MILE RD","32200 WEST 12 MILE RD","FARMINGTON HILLS","FARMINGTON HILLS","48334-3511","48334-3511","Farmington","Ms.","Dena Jayson","Dena","Jayson","djayson@stfabian.org","2485532750","2488483035","KG-Part, 1-8, GenEd"
"St. Frances Cabrini School","15300 WICK RD","15300 WICK RD","ALLEN PARK","ALLEN PARK","48101-1555","48101-1555","Allen Park","Ms.","Patricia Pollick","Patricia","Pollick","patpollick@yahoo.com","3133880110",,"KG-Part, 1-8, GenEd"
"St. Francis de Sales School","210 LAKE ST","210 LAKE ST","MANISTIQUE","MANISTIQUE","49854-1406","49854-1406","Manistique","Mrs.","Kathleen Lovell","Kathleen","Lovell","klovell@centurylink.net","9063415512","9063413984","KG-Part,1-8, GenEd, PK"
"St. Francis High School","123 EAST ELEVENTH ST","123 EAST ELEVENTH ST","TRAVERSE CITY","TRAVERSE CITY","49684-3260","49684-3260","Traverse City","Mr.","Erick Chittle","Erick","Chittle","khunt@gtacs.org","2319468038","2319461878","9-12, GenEd"
"St. Francis of Assisi School","2270 EAST STADIUM BLVD","2270 EAST STADIUM BLVD","ANN ARBOR","ANN ARBOR","48104-4825","48104-4825","Ann Arbor","Ms.","Sara Jane Collins","Sara Jane","Collins","scollins@stfrancisaa.org","7348212200","7348212202","KG-Part, 1-8, GenEd, PK"
"St. Francis Xavier School","414 MICHIGAN ST","414 MICHIGAN ST","PETOSKEY","PETOSKEY","49770-2611","49770-2611","Petoskey","Mrs.","Phyllis Daily","Phyllis","Daily","phyllisdaily@yahoo.com","2313473651","2313473610","KG-Part, 1-8, GenEd"
"St. Genevieve School","28933 JAMISON ST","28933 JAMISON ST","LIVONIA","LIVONIA","48154-4019","48154-4019","Livonia","Ms.","Ann Tonissen","Ann","Tonissen","atonissen@stgenevieve.org","7344254420","7344583915","KG-Part, 1-8, GenEd, PK"
"St. Gerard School","4433 WEST WILLOW HWY","4433 WEST WILLOW HWY","LANSING","LANSING","48917-2138","48917-2138","Waverly","Ms.","Michelle Piecuch","Michelle","Piecuch","mpiecuch@stgerard.org","5173216126","5173238046","KG-Part, 1-8, GenEd, PK"
"St. Germaine Elementary School","28250 ROCKWOOD ST","28250 ROCKWOOD ST","SAINT CLAIR SHORES","SAINT CLAIR SHORES","48081-1410","48081-1410","Lakeview (Macomb)","Ms.","Julie DeGrez","Julie","DeGrez","platessa@stgermaine.org","5867710890",,"KG-Part, 1-8, GenEd, PK"
"St. Hugo of the Hills School","380 EAST HICKORY GROVE RD","380 EAST HICKORY GROVE RD","BLOOMFIELD HILLS","BLOOMFIELD HILLS","48304-1745","48304-1745","Bloomfield Hills","Sr."," Van Velzen, IHM",,"Van Velzen, IHM","mvanvelzen@sthugo.org","2486426131",,"KG-Part, 1-8, GenEd"
"St. Ignatius Catholic School","545 SOUTH 3RD ST","545 SOUTH 3RD ST","ROGERS CITY","ROGERS CITY","49779-1911","49779-1911","Rogers City",,"Amy Rabeau","Amy","Rabeau","rcv286@12K.com","9897343443","9897343443","1-8, GenEd"
"St. Isaac Jogues Catholic School","21100 MADISON ST","21100 MADISON ST","SAINT CLAIR SHORES","SAINT CLAIR SHORES","48081-3389","48081-3389","Lakeview (Macomb)","Ms.","Anne Kolley","Anne","Kolley","akolley@stisaac.pvt.k12.mi.us","5867713525","5867788183","KG-Part, 1-8, GenEd, PK"
"St. James Elementary School","715 14TH ST","715 14TH ST","BAY CITY","BAY CITY","48708-7204","48708-7204","Bay City","Sr.","Julie Gatza","Julie","Gatza","office@stjamesbc.org","9898924371","9898927567","KG-Part, 1-5, GenEd, PK"
"St. Joan of Arc School","22415 OVERLAKE ST","22415 OVERLAKE ST","SAINT CLAIR SHORES","SAINT CLAIR SHORES","48080-3881","48080-3881","South Lake","Mr.","Donald Ancypa","Donald","Ancypa","dcancypa@hotmail.com","5867758370","5864473574","KG-Part, 1-8, GenEd, PK"
"St. John Catholic School","521 SOUTH MONROE ST","521 SOUTH MONROE ST","MONROE","MONROE","48161-2223","48161-2223","Monroe","Ms.","Jacqueline Mojeske","Jacqueline","Mojeske","mrsmojeske@gmail.com","7342411670","7342418782","KG-Part, 1-8, GenEd, PK"
"St. John Catholic School","619 MAIN ST","619 MAIN ST","ESSEXVILLE","ESSEXVILLE","48732-1332","48732-1332","Essexville-Hampton","Mrs.","Sue Grzegorczyk","Sue","Grzegorczyk","suegrzeg@yahoo.com","9898920363","9898945558","KG-Part, 1-5, GenEd, PK"
"St. John Ev Lutheran School","7379 BERNE RD","7379 BERNE RD","PIGEON","PIGEON","48755-9709","48755-9709","Elkton-Pigeon-Bay Port Laker","Mr.","Thomas Rosenow","Thomas","Rosenow","st.john@echoicemi.com","9894532861","9894532884","KG-Part,1-8, GenEd"
"St. John Lutheran School","1011 WEST UNIVERSITY DR","1011 WEST UNIVERSITY DR","ROCHESTER","ROCHESTER","48307-1862","48307-1862","Rochester","Mr.","Gordon Kennedy","Gordon","Kennedy","gkennedy@stjohnrochester.org","2484028052","2486529916","KG-Part, 1-8, GenEd, PK"
"St. John Lutheran School","28320 WALTZ RD","28320 WALTZ RD","NEW BOSTON","NEW BOSTON","48164-9003","48164-9003","Huron","Mr.","John Hinck","John","Hinck","jthctnmi@sbcglobal.net","7346546366","7346543675","KG-Part, 1-8, GenEd, PK"
"St. John Lutheran School","145 NORTH 5TH ST","145 NORTH 5TH ST","ROGERS CITY","ROGERS CITY","49779-1622","49779-1622","Rogers City","Ms.","Linda Schalk","Linda","Schalk","mrs.schalk73@yahoo.com","9897343580","9897342120","KG-Part, 1-8, GenEd, PK"
"St. John Lutheran School","7885 STATE RD","7885 STATE RD","PORT HOPE","PORT HOPE","48468-7725","48468-7725","Port Hope","Ms.","Paula Ceplecha","Paula","Ceplecha","stjohnadmin@stjohnporthope.org","9894284811","9894284811","KG-Part, 1-8, GenEd, PK"
"St. John Lutheran School","16339 EAST 14 MILE RD","16339 EAST 14 MILE RD","FRASER","FRASER","48026-5261","48026-5261","Fraser","Mr.","David Waltz","David","Waltz","stjohnfraser@hotmail.com","5862948740","5862949565","KG-Part, 1-8, GenEd, PK"
"St. John the Evangelist School","405 EAST NORTH ST","405 EAST NORTH ST","JACKSON","JACKSON","49202-3350","49202-3350","Jackson","Mrs.","Kristi Blair","Kristi","Blair","kbblairstjohn@gmail.com","5177841714","5177885382","KG-Part, 1-6, GenEd, PK"
"St. John the Evangelist School","514 LINCOLN ST","514 LINCOLN ST","FENTON","FENTON","48430-1808","48430-1808","Fenton","Ms.","Katherine White","Katherine","White","kwhite@stjohnfenton.com","8106296551","8106292213","KG-Part, 1-8, GenEd, PK"
"St. John Vianney School","2319 BAGLEY ST","2319 BAGLEY ST","FLINT","FLINT","48504-4613","48504-4613","Flint","Ms.","Mary Allen","Mary","Allen","mallen@sjvkids.org","8102355687","8102352811","KG-Part, 1-8, GenEd, PK"
"St. John Vianney School","4101 CLYDE PARK AVE SW","4101 CLYDE PARK AVE SW","WYOMING","WYOMING","49509-4033","49509-4033","Kelloggsville","Mr.","Tom Priest","Tom","Priest","tpriest@stjohnvianney.net","6165327001","6165321884","KG-Part, 1-8, GenEd"
"St. John's Ev. Lutheran School","4705 BROCKWAY RD","4705 BROCKWAY RD","SAGINAW","SAGINAW","48638-4664","48638-4664","Saginaw Township","Mr.","Ken Peterson","Ken","Peterson","kfp1951@gmail.com","9897990935",,"KG-Part,1-8, GenEd"
"St. John's Evangelical Lutheran School","2602 SOUTH WAYNE RD","2602 SOUTH WAYNE RD","WESTLAND","WESTLAND","48186-5427","48186-5427","Wayne-Westland","Mrs.","Lori Bartholomew","Lori","Bartholomew","lobart@comcast.net","7347214650","7347214650","KG-Part, 1-8, GenEd"
"St. Johns Lutheran Amelith","1664 AMELITH RD","1664 AMELITH RD","BAY CITY","BAY CITY","48706-9378","48706-9378","Bay City","Mrs.","Jennifer Enge","Jennifer","Enge","office@stjohn-amelith.org","9896860176","9896862169","KG-Part, 1-8, GenEd, PK"
"St. Johns Lutheran School","525 TAYLOR AVE","525 TAYLOR AVE","GRAND HAVEN","GRAND HAVEN","49417-2125","49417-2125","Grand Haven","Ms.","Laura Harvey","Laura","Harvey","lharvey@sjlcs.org","6168420260","6168420934","KG-Part, 1-8, GenEd, PK"
"St. Johns Lutheran School","1108 EAST LAFAYETTE ST","1108 EAST LAFAYETTE ST","STURGIS","STURGIS","49091-1989","49091-1989","Sturgis","Mr.","Jerome Wolff","Jerome","Wolff","mrwolffteach@yahoo.com","2696513240","2696515308","KG-Part,1-8, GenEd"
"St. John's Lutheran School","505 EAST CARPENTER ST","505 EAST CARPENTER ST","MIDLAND","MIDLAND","48640-5462","48640-5462","Midland","Mr.","Jonathon Pickelmann","Jonathon","Pickelmann","jpickelmann@stjohnslutheran-midland.org","9898357041","9898352443","KG-Part, 1-8, GenEd, PK"
"St. John's Lutheran School","2290 PRETZER RD","2290 PRETZER RD","HEMLOCK","HEMLOCK","48626-9788","48626-9788","Hemlock","Mr.","Zachary Seeger","Zachary","Seeger","stjohns.hemlock.school@gmail.com","9896425178","9896428935","KG-Part, 1-8, GenEd, PK"
"St. Joseph Academy","1267 EAST SIENA HEIGHTS DR","1267 EAST SIENA HEIGHTS DR","ADRIAN","ADRIAN","49221-1755","49221-1755","Adrian","Sr.","Patricia Fischer","Patricia","Fischer","pfischer@sjaschool.org","5172634898","5172564733","KG-Part,1-8, GenEd, PK"
"St. Joseph Catholic School","2238 MANHATTAN ST","2238 MANHATTAN ST","ERIE","ERIE","48133-9647","48133-9647","Mason (Monroe)","Mrs.","Janet Hardy","Janet","Hardy","jhardy.sus@gmail.com","7348486985",,"KG-Part, 1-8, GenEd, PK"
"St. Joseph Catholic School","188 LUCINDA LN","188 LUCINDA LN","WATERVLIET","WATERVLIET","49098-9200","49098-9200","Watervliet","Ms.","Bobbie Piecyk","Bobbie","Piecyk","principalsjcatholicschool@gmail.com","2694633941","2694634525","KG,KG-Part,1-6, GenEd, PK"
"St. Joseph Catholic School","703 NORTH LAPEER RD","703 NORTH LAPEER RD","LAKE ORION","LAKE ORION","48362-1530","48362-1530","Lake Orion","Sr.","Theresa Darga","Theresa","Darga","tdarga@stjosephlakeorion.org","2486936215",,"KG-Part, 1-8, GenEd, PK"
"St. Joseph Elementary School","47 23RD ST N","47 23RD ST N","BATTLE CREEK","BATTLE CREEK","49015-1726","49015-1726","Lakeview (Calhoun)","Mrs.","Patricia Riley","Patricia","Riley","priley@bcacs.org","2699657749","2699650790","KG-Part, 1-5, GenEd, PK"
"St. Joseph Middle School","44 25TH ST N","44   25TH ST N","BATTLE CREEK","BATTLE CREEK","49015-1773","49015","Lakeview (Calhoun)","Ms.","Amy Doyle","Amy","Doyle","adoyle@bcacs.org","2699634935","2696600354","6-8, GenEd"
"St. Joseph School","425 EAST WASHINGTON ST","425 EAST WASHINGTON ST","HOWELL","HOWELL","48843-2346","48843-2346","Howell","Ms.","Judith Meerschaert","Judith","Meerschaert","jmeerschaert@stjosephhowell.com","5175460090","5175468903","KG-Part, 1-8, GenEd, PK"
"St. Joseph School","935 WEST HOUGHTON AVE","935 WEST HOUGHTON AVE","WEST BRANCH","WEST BRANCH","48661-1233","48661-1233","West Branch-Rose City","Ms.","Katie Nimcheski","Katie","Nimcheski","knimcheski@wbstjoseph.com","9893450220","9893453030","KG-Part, 1-8, GenEd"
"St. Joseph School","18768 8TH AVE","18768 8TH AVE","CONKLIN","CONKLIN","49403-9718","49403-9718","Coopersville","Mr.","Richard Kosla","Richard","Kosla","richardkosla@gmail.com","6168995300",,"KG-Part, 1-8, GenEd, PK"
"St. Joseph School","160 East Street, PO Box 38","160 SOUTH EAST ST","Pewamo","PEWAMO","48873-0038","48873-9742","Pewamo-Westphalia","Mrs.","Patricia O'Mara","Patricia","O'Mara","stjoes@pw.k12.mi.us","9895933400","6169020097","2-8, GenEd"
"St. Joseph School","201 EAST CASS ST","201 EAST CASS ST","SAINT JOHNS","SAINT JOHNS","48879-1834","48879-1834","St. Johns","Ms.","Tomi Ann Schultheiss","Tomi Ann","Schultheiss","tas@stjoecatholic.com","9892242421","9892241900","KG-Part, 1-6, GenEd"
"St. Joseph School","2675 3RD ST","2675 3RD ST","TRENTON","TRENTON","48183-2812","48183-2812","Trenton","Ms.","Wanda Rovenskie","Wanda","Rovenskie","wrovenskie@mycomcast.com","7346762565",,"KG-Part, 1-8, GenEd"
"St. Joseph the Worker School","2091 NORTH WINN RD","2091 NORTH WINN RD","MOUNT PLEASANT","MOUNT PLEASANT","48858-9730","48858-9730","Beal City","Mrs.","Mary Hauck","Mary","Hauck","stjoseph@edzone.net","9896443970","9896442026","KG,1-6, GenEd"
"St. Joseph's Academy","28049 SCHOOL SECTION RD","28049 SCHOOL SECTION RD","RICHMOND","RICHMOND","48062-3300","48062-3300","Armada","Ms.","Kathryn Hetrick","Kathryn","Hetrick","kmsja@comcast.net","5867845591","5867848070","KG-Part, 1-12, GenEd"
"St. Joseph's School","34437 SIMS ST","34437 SIMS ST","WAYNE","WAYNE","48184-1321","48184-1321","Wayne-Westland","Sr.","Mary Alphonsa Vopalensky","Mary Alphonsa","Vopalensky","god_wills_it_33@yahoo.com","7347226741","7347299350","KG-Part,1-12, GenEd"
"St. Lawrence School","44429 UTICA RD","44429 UTICA RD","UTICA","UTICA","48317-5466","48317-5466","Utica","Ms.","Cathy Ciolino","Cathy","Ciolino","ciolino@comcast.net","5867310135","5867315393","KG-Part, 1-8, GenEd, PK"
"St. Linus School","6466 NORTH EVANGELINE ST","6466 NORTH EVANGELINE ST","DEARBORN HEIGHTS","DEARBORN HEIGHTS","48127-2029","48127-2029","Crestwood","Ms.","Christine Lee","Christine","Lee","principal@stlinusschool.com","3132745320",,"KG-Part, 1-8, GenEd, PK, SpecEd"
"St. Lorenz Lutheran School","140 CHURCHGROVE RD","140 CHURCHGROVE RD","FRANKENMUTH","FRANKENMUTH","48734-1038","48734-1038","Frankenmuth","Mr.","Michael Bender","Michael","Bender","mbender@stlorenz.org","9896526141","9896529071","KG-Part, 1-8, GenEd, PK"
"St. Luke Lutheran School","21400 SOUTH NUNNELEY RD","21400 SOUTH NUNNELEY RD","CLINTON TOWNSHIP","CLINTON TOWNSHIP","48035-1632","48035-1632","Clintondale","Mr.","David Kleimola","David","Kleimola","principal@stlukemi.org","5867911151","5867911591","KG-Part, 1-8, GenEd, PK"
"St. Luke's Lutheran School","1056 WELS LN","1056 WELS LN","VASSAR","VASSAR","48768-1165","48768-1165","Vassar","Mr.","John Lange","John","Lange","stlukesles@sbcglobal.net","9898238400",,"KG-Part, 1-8, GenEd, PK"
"St. Margaret School","736 SOUTH FARMER ST","736 SOUTH FARMER ST","OTSEGO","OTSEGO","49078-1432","49078-1432","Otsego","Mr.","Frank Sander","Frank","Sander","ftsander@sbcglobal.net","2696942951","2696944520","KG-Part, 1-8, GenEd, PK"
"St. Mark Christian Academy","3615 LIVERNOIS RD","3615 LIVERNOIS RD","TROY","TROY","48083-5033","48083-5033","Troy","Ms.","Marie Weber","Marie","Weber","mweber@stmarkacademy.org","2486190530","2486190542","KG-Part,1-5, GenEd"
